미세먼지농도
[검색조건]
지점명 : , 자료구분:일자료 , 기간 : 20160101 ~ 20181231

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
143,대구,2016-01-24,25
146,전주,2016-01-24,17
152,울산,2016-01-24,24
156,광주,2016-01-24,19
160,부산(레),2016-01-24,19
169,흑산도,2016-01-24,11
185,고산,2016-01-24,11
192,진주,2016-01-24,14
201,강화,2016-01-24,38
229,북격렬비도 *,2016-01-24,16
232,천안,2016-01-24,30
268,진도군,2016-01-24,15
273,문경,2016-01-24,28
501,연평도,2016-01-24,30
90,속초,2016-01-25,25
94,광덕산,2016-01-25,32
100,대관령,2016-01-25,25
101,춘천,2016-01-25,47
102,백령도,2016-01-25,64
108,서울,2016-01-25,48
115,울릉도독도(감),2016-01-25,18
116,관악산,2016-01-25,42
119,수원,2016-01-25,49
121,영월,2016-01-25,37
130,울진,2016-01-25,18
132,안면도(감),2016-01-25,46
135,추풍령,2016-01-25,31
136,안동,2016-01-25,36
140,군산,2016-01-25,53
143,대구,2016-01-25,39
146,전주,2016-01-25,38
152,울산,2016-01-25,29
156,광주,2016-01-25,31
160,부산(레),2016-01-25,26
169,흑산도,2016-01-25,30
185,고산,2016-01-25,27
192,진주,2016-01-25,23
201,강화,2016-01-25,54
229,북격렬비도 *,2016-01-25,
232,천안,2016-01-25,57
268,진도군,2016-01-25,23
273,문경,2016-01-25,36
501,연평도,2016-01-25,70
90,속초,2016-01-26,37
94,광덕산,2016-01-26,42
100,대관령,2016-01-26,35
101,춘천,2016-01-26,60
102,백령도,2016-01-26,53
108,서울,2016-01-26,72
115,울릉도독도(감),2016-01-26,18
116,관악산,2016-01-26,51
119,수원,2016-01-26,70
121,영월,2016-01-26,50
130,울진,2016-01-26,31
132,안면도(감),2016-01-26,44
135,추풍령,2016-01-26,41
136,안동,2016-01-26,51
140,군산,2016-01-26,65
143,대구,2016-01-26,55
146,전주,2016-01-26,37
152,울산,2016-01-26,35
156,광주,2016-01-26,50
160,부산(레),2016-01-26,35
169,흑산도,2016-01-26,45
185,고산,2016-01-26,45
192,진주,2016-01-26,39
201,강화,2016-01-26,87
229,북격렬비도 *,2016-01-26,49
232,천안,2016-01-26,69
268,진도군,2016-01-26,41
273,문경,2016-01-26,44
501,연평도,2016-01-26,58
90,속초,2016-01-27,34
94,광덕산,2016-01-27,39
100,대관령,2016-01-27,39
101,춘천,2016-01-27,61
102,백령도,2016-01-27,25
108,서울,2016-01-27,55
115,울릉도독도(감),2016-01-27,28
116,관악산,2016-01-27,49
119,수원,2016-01-27,60
121,영월,2016-01-27,58
130,울진,2016-01-27,40
132,안면도(감),2016-01-27,54
135,추풍령,2016-01-27,54
136,안동,2016-01-27,60
140,군산,2016-01-27,72
143,대구,2016-01-27,74
146,전주,2016-01-27,52
152,울산,2016-01-27,52
156,광주,2016-01-27,72
160,부산(레),2016-01-27,55
169,흑산도,2016-01-27,49
185,고산,2016-01-27,42
192,진주,2016-01-27,53
201,강화,2016-01-27,58
229,북격렬비도 *,2016-01-27,55
232,천안,2016-01-27,77
268,진도군,2016-01-27,45
273,문경,2016-01-27,56
501,연평도,2016-01-27,51
90,속초,2016-01-28,28
94,광덕산,2016-01-28,26
100,대관령,2016-01-28,30
101,춘천,2016-01-28,55
102,백령도,2016-01-28,30
108,서울,2016-01-28,44
115,울릉도독도(감),2016-01-28,24
116,관악산,2016-01-28,33
119,수원,2016-01-28,51
121,영월,2016-01-28,81
130,울진,2016-01-28,26
132,안면도(감),2016-01-28,49
135,추풍령,2016-01-28,61
136,안동,2016-01-28,81
140,군산,2016-01-28,79
143,대구,2016-01-28,80
146,전주,2016-01-28,56
152,울산,2016-01-28,45
156,광주,2016-01-28,57
160,부산(레),2016-01-28,41
169,흑산도,2016-01-28,52
185,고산,2016-01-28,13
192,진주,2016-01-28,41
201,강화,2016-01-28,58
229,북격렬비도 *,2016-01-28,45
232,천안,2016-01-28,92
268,진도군,2016-01-28,38
273,문경,2016-01-28,73
501,연평도,2016-01-28,50
90,속초,2016-01-29,30
94,광덕산,2016-01-29,21
100,대관령,2016-01-29,15
101,춘천,2016-01-29,26
102,백령도,2016-01-29,63
108,서울,2016-01-29,36
115,울릉도독도(감),2016-01-29,15
116,관악산,2016-01-29,26
119,수원,2016-01-29,36
121,영월,2016-01-29,26
130,울진,2016-01-29,17
132,안면도(감),2016-01-29,43
135,추풍령,2016-01-29,30
136,안동,2016-01-29,45
140,군산,2016-01-29,29
143,대구,2016-01-29,50
146,전주,2016-01-29,26
152,울산,2016-01-29,10
156,광주,2016-01-29,14
160,부산(레),2016-01-29,8
169,흑산도,2016-01-29,32
185,고산,2016-01-29,
192,진주,2016-01-29,11
201,강화,2016-01-29,53
229,북격렬비도 *,2016-01-29,62
232,천안,2016-01-29,65
268,진도군,2016-01-29,18
273,문경,2016-01-29,42
501,연평도,2016-01-29,88
90,속초,2016-01-30,17
94,광덕산,2016-01-30,20
100,대관령,2016-01-30,13
101,춘천,2016-01-30,26
102,백령도,2016-01-30,32
108,서울,2016-01-30,41
115,울릉도독도(감),2016-01-30,13
116,관악산,2016-01-30,31
119,수원,2016-01-30,35
121,영월,2016-01-30,17
130,울진,2016-01-30,13
132,안면도(감),2016-01-30,35
135,추풍령,2016-01-30,16
136,안동,2016-01-30,25
140,군산,2016-01-30,36
143,대구,2016-01-30,39
146,전주,2016-01-30,29
152,울산,2016-01-30,13
156,광주,2016-01-30,28
160,부산(레),2016-01-30,14
169,흑산도,2016-01-30,43
185,고산,2016-01-30,19
192,진주,2016-01-30,11
201,강화,2016-01-30,34
229,북격렬비도 *,2016-01-30,45
232,천안,2016-01-30,55
268,진도군,2016-01-30,29
273,문경,2016-01-30,21
501,연평도,2016-01-30,57
90,속초,2016-01-31,32
94,광덕산,2016-01-31,31
100,대관령,2016-01-31,30
101,춘천,2016-01-31,38
102,백령도,2016-01-31,24
108,서울,2016-01-31,38
115,울릉도독도(감),2016-01-31,16
116,관악산,2016-01-31,32
119,수원,2016-01-31,34
121,영월,2016-01-31,34
130,울진,2016-01-31,28
132,안면도(감),2016-01-31,25
135,추풍령,2016-01-31,31
136,안동,2016-01-31,29
140,군산,2016-01-31,26
143,대구,2016-01-31,36
146,전주,2016-01-31,27
152,울산,2016-01-31,33
156,광주,2016-01-31,31
160,부산(레),2016-01-31,41
169,흑산도,2016-01-31,32
185,고산,2016-01-31,48
192,진주,2016-01-31,29
201,강화,2016-01-31,35
229,북격렬비도 *,2016-01-31,23
232,천안,2016-01-31,35
268,진도군,2016-01-31,29
273,문경,2016-01-31,29
501,연평도,2016-01-31,33
90,속초,2016-02-01,29
94,광덕산,2016-02-01,29
100,대관령,2016-02-01,24
101,춘천,2016-02-01,41
