"","social_date.date","social_date.blog","social_date.twitter","social_date.news","social_date.total"
"916","2018-07-04",1477,1474,98,3049
"917","2018-07-05",1467,1303,132,2902
"918","2018-07-06",655,1384,84,2123
"919","2018-07-07",1049,1416,24,2489
"920","2018-07-08",1570,1471,35,3076
"921","2018-07-09",1796,1355,169,3320
"922","2018-07-10",1709,1497,120,3326
"923","2018-07-11",1610,1388,70,3068
"924","2018-07-12",1551,1501,72,3124
"925","2018-07-13",1571,1315,46,2932
"926","2018-07-14",1351,1063,47,2461
"927","2018-07-15",1454,979,43,2476
"928","2018-07-16",1785,1438,58,3281
"929","2018-07-17",1495,1567,91,3153
"930","2018-07-18",1560,1452,103,3115
"931","2018-07-19",1562,1113,113,2788
"932","2018-07-20",1457,1444,72,2973
"933","2018-07-21",1316,1706,31,3053
"934","2018-07-22",1495,1853,19,3367
"935","2018-07-23",1769,1687,26,3482
"936","2018-07-24",1533,1465,38,3036
"937","2018-07-25",1524,1880,92,3496
"938","2018-07-26",1586,1744,88,3418
"939","2018-07-27",1472,1733,150,3355
"940","2018-07-28",1345,1780,34,3159
"941","2018-07-29",1419,4409,21,5849
"942","2018-07-30",1786,3210,72,5068
"943","2018-07-31",1649,1760,74,3483
"944","2018-08-01",1583,1677,111,3371
"945","2018-08-02",1508,1867,98,3473
"946","2018-08-03",1550,1879,190,3619
"947","2018-08-04",1305,1572,37,2914
"948","2018-08-05",1467,1473,21,2961
"949","2018-08-06",1716,1337,34,3087
"950","2018-08-07",1630,1228,27,2885
"951","2018-08-08",1609,1338,39,2986
"952","2018-08-09",1509,1641,76,3226
"953","2018-08-10",1428,1193,76,2697
"954","2018-08-11",1244,1270,28,2542
"955","2018-08-12",1313,1515,19,2847
"956","2018-08-13",1644,1479,58,3181
"957","2018-08-14",1568,1306,64,2938
"958","2018-08-15",1427,1257,40,2724
"959","2018-08-16",1570,1843,141,3554
"960","2018-08-17",1430,1423,140,2993
"961","2018-08-18",1306,1815,47,3168
"962","2018-08-19",1402,2100,45,3547
"963","2018-08-20",1649,1982,51,3682
"964","2018-08-21",764,1998,42,2804
"965","2018-08-22",1028,1925,100,3053
"966","2018-08-23",1251,1806,125,3182
"967","2018-08-24",1241,2068,173,3482
"968","2018-08-25",1098,1973,34,3105
"969","2018-08-26",1318,1876,24,3218
"970","2018-08-27",1514,1807,105,3426
"971","2018-08-28",1285,1816,89,3190
"972","2018-08-29",1306,1810,73,3189
"973","2018-08-30",1213,1677,86,2976
"974","2018-08-31",1256,1613,87,2956
"975","2018-09-01",1017,1464,18,2499
